id,nom,insee,adresse,emplacements,statut,latitude,longitude
75116-T-407,Eylaud / Place de Mexico,75116,36 AVENUE D'EYLAU,3.0,en service,48.86532372088483,"2.2835209670902508"
75116-T-410,Iéna /Etoile,75116,98 AVENUE D'IENA,7.0,en service,48.872490544262966,"2.2955132821952264"
75109-T-303,Clichy / Bruxelles,75109,65 BOULEVARD DE CLICHY,5.0,en service,48.88377441889856,"2.332060464728553"
75106-T-247,Place Alphonse Deville,75106,27 RUE DU CHERCHE-MIDI,3.0,en service,48.85022780366451,"2.3274256877778963"
75108-T-267,Haussmann / Place du Pérou,75108,119 BOULEVARD HAUSSMANN,4.0,en service,48.8753768942154,"2.3149255082716524"
75108-T-277,Rue Royale,75108,21 RUE ROYALE,9.0,en service,48.868516483018404,"2.3233590036787946"
75120-T-109,Mairie du 20ème - Gambetta,75120,16 AVENUE DU PÈRE LACHAISE,17.0,en service,48.864462042863416,"2.398264142764164"
75116-T-422,Place de l'Uruguay,75116,30 PLACE DE L'URUGUAY,2.0,en service,48.869833295787224,"2.2960666269050796"
75112-T-046,Bercy - Palais Omnisport,75112,BOULEVARD DE BERCY,5.0,en service,48.839591439282536,"2.3843734923787876"
75102-T-217,Italiens/Richelieu Drouot,75102,1 BOULEVARD DES ITALIENS,7.0,en service,48.87162843580771,"2.339043707144803"
75115-T-066,Felix Faure - Boucicault,75115,44 AVENUE FÉLIX FAURE,7.0,en service,48.84126852020711,"2.288028957273633"
75115-T-067,Hôpital Georges Pompidou,75115,25 RUE LEBLANC,20.0,en service,48.839347401207824,"2.2751010323411314"
75112-T-045,Daumesnil - Felix Eboué,75112,5 PLACE FÉLIX EBOUÉ,9.0,en service,48.84002111712303,"2.395813610400153"
75112-T-047,Château de Vincennes,75112,8 ROUTE DES PELOUSES DE MARIGNY,7.0,en service,48.84471723579604,"2.441432271564559"
75115-T-065,Convention - Vaugirard,75115,2 rue victor duruy,8.0,en service,48.83777029672143,"2.297822011768103"
75110-T-036,Hôpital Saint Louis,75110,18 RUE CLAUDE VELLEFAUX,12.0,en service,48.873182855335,"2.3699701930424637"
75108-T-030,Place des Ternes,75108,272 RUE DU FAUBOURG SAINT-HONORÉ,11.0,en service,48.87776714508008,"2.2988514707250576"
992-T-75118,Ney-Chapelle,75118,23 Z1 boulevard Ney,17.0,en service,48.89852407496646,"2.362461455975824"
75112-T-923,HIPPODROME PARIS-VINCENNES,75112,8 ROUTE DU FORT DE GRAVELLE,10.0,en service,48.821068630904136,"2.453362976446234"
75120-T-114,Porte de Bagnolet,75120,2 PLACE DE LA PORTE DE BAGNOLET,8.0,en service,48.864070752391726,"2.4091882569279917"
75120-T-116,Pyrénées -Avron,75120,67 RUE DES PYRÉNÉES,5.0,en service,48.852878174839375,"2.40601067388231"
75117-T-441,Villiers / Malesherbes,75117,40 AVENUE DE VILLIERS,7.0,en service,48.88285054952955,"2.308797154260043"
75109-T-326,Square Montholon,75109,2 RUE PIERRE SEMARD,9.0,en service,48.87735566443743,"2.3470070705615127"
75108-T-284,Batignolles / Place de Clichy,75108,7 BOULEVARD DES BATIGNOLLES,4.0,en service,48.88323424308239,"2.326455023781938"
75111-T-340,République - Malte,75111,1 AVENUE DE LA REPUBLIQUE,8.0,en service,48.86701334592816,"2.366114661944415"
75111-T-347,Faidherbe Chaligny,75111,1 RUE FAIDHERBE,10.0,en service,48.850624767226606,"2.3843049698155023"
75119-T-473,Flandre / Crimée,75119,98 AVENUE DE FLANDRE,7.0,en service,48.890903404392894,"2.3767820886069866"
75114-T-378,Paul Appell,75114,20 AVENUE PAUL APPELL,5.0,en service,48.822031135165666,"2.325745531013348"
75102-T-218,Bonne Nouvelle,75102,35 BOULEVARD DE BONNE NOUVELLE,5.0,en service,48.870399676867336,"2.3485194228253294"
75112-T-051,Porte de Vincennes,75112,86 BOULEVARD SOULT,7.0,en service,48.84654042631054,"2.411211547970157"
75118-T-095,Marx Dormoy - Ordener,75118,76 RUE MARX DORMOY,7.0,en service,48.8898297641994,"2.360131332942634"
